剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
70402101,铡判官,公案戏,41.75,0.1264,0.3062,25,93,0.31,0.4077,0.9994,322,1,25,包拯；柳金婵；张洪；油流鬼；秦广辉；县令；颜查散；颜母；柳自芳；柳夫人；丫鬟；李保；公孙策；来兴；柳金蝉；张千；李万；四衙役；马汉；赵虎；五小鬼；阎君；小鬼；众鬼卒；王朝,14,17419,70402000/70402101_铡判官.pdf,亲属关系,亲属关系|婚恋关系|审判与恩怨关系,家庭亲情,家庭亲情|婚恋姻缘|公案冤狱|文人世情|恩怨报偿,loop-002|loop-000|loop-009|loop-010|loop-017|loop-013|loop-022|loop-061,后峰型|平稳型|多峰型|前锋型,后峰-终局和解|平稳-循环回归|多峰-恩怨反复|后峰-压轴报偿|前锋-先误判后澄清|多峰-审断反复,亲情牺牲|亲缘团圆|宗族复位|名节昭彰|贞节守义|婚恋错失|礼法压服|恶人受惩,loop-002,后峰型,后峰-终局和解,亲情牺牲,64,61,0,26,8,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70402102,铡美案,公案戏,43.58,0.1205,0.3798,24,80,0.2899,0.4158,1.0,534,1,24,包拯；陈世美；秦香莲；王延龄；国太；皇姑；张三阳；韩琪；陈母；冬妹；英哥；老太监；太监甲；门官；龙套；家院；太监；二太监；太监乙；马汉；王朝；八勇士；四刽子手；赵虎,20,25410,70402000/70402102_铡美案.pdf,亲属关系,亲属关系|权力关系|审判与恩怨关系,家庭亲情,家庭亲情|公案冤狱|战争武略|政治权力|恩怨报偿,loop-000|loop-001|loop-009|loop-010|loop-035|loop-031|loop-025|loop-072,平稳型|前锋型|多峰型|后峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|多峰-恩怨反复|后峰-压轴报偿|后峰-末端清算|中峰-中段征战|中峰-中段计谋|中峰-中段审判,亲缘团圆|代际和解|宗族复位|名节昭彰|君臣尽忠|权谋败露|权力更替|世情讽喻,loop-000,平稳型,平稳-循环回归,亲缘团圆,72,61,0,35,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70402103,锁五龙,历史戏,23.05,0.3246,0.5616,7,14,0.6667,0.4869,1.0,49,1,7,单雄信；李世民；徐勣；罗成；程咬金；四刽子手；尉迟恭,4,3881,70402000/70402103_锁五龙.pdf,同盟关系,同盟关系|亲属关系|冲突关系,家庭亲情,家庭亲情|战争武略|政治权力|善恶转化|礼教品格,loop-041|loop-039|loop-046|loop-047|loop-000|loop-003|loop-048|loop-057,后峰型|多峰型|中峰型|平稳型,后峰-结尾爆发|多峰-连战递进|中峰-中段计谋|后峰-末端清算|平稳-循环回归|平稳-低振守常|中峰-中段悟转,阵营转投|同盟破裂|君臣尽忠|结义同心|亲缘团圆|代际和解|敌对消灭,loop-041,后峰型,后峰-结尾爆发,阵营转投,0,19,9,36,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70402104,除三害,历史戏,32.95,0.2444,0.4435,11,26,0.4727,0.5171,1.0,294,7,11,周处；王浚；刘才；范老二；张百川；张利；田大娘；二伙计；四文堂；家院；百姓,12,14860,70402000/70402104_除三害.pdf,权力关系,权力关系|亲属关系|审判与恩怨关系,家庭亲情,家庭亲情|战争武略|公案冤狱|政治权力|恩怨报偿,loop-030|loop-031|loop-035|loop-033|loop-025|loop-002|loop-009|loop-060,多峰型|中峰型|后峰型,多峰-连战递进|中峰-中段征战|后峰-末端清算|中峰-中段审判|中峰-中段计谋|后峰-终局和解|多峰-恩怨反复,主从归顺|权谋败露|君臣尽忠|权力更替|亲情牺牲|宗族复位|冤案昭雪,loop-030,多峰型,多峰-连战递进,主从归顺,13,20,16,31,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70402105,断密涧,历史戏,34.54,0.1643,0.3108,13,33,0.4231,0.3885,1.0,315,12,13,李密；王伯党；李世民；李渊；河阳公主；大太监；四喽兵；四太监；太监甲；四红龙套；四宫女；四龙套；殷开山,14,15804,70402000/70402105_断密涧.pdf,权力关系,权力关系|同盟关系,政治权力,政治权力|战争武略|忠义家国|除暴侠义|公案冤狱,loop-026|loop-024|loop-032|loop-030|loop-029|loop-047|loop-040|loop-037,后峰型|前锋型|多峰型|中峰型,后峰-末端清算|前锋-开端突发|后峰-结尾爆发|多峰-连战递进|中峰-中段征战|后峰-压轴报偿,主从归顺|君臣尽忠|功名显达|权谋败露|结义同心|义助功成|同盟破裂,loop-026,后峰型,后峰-末端清算,主从归顺,5,12,6,60,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601101,赤壁鏖兵【头本】,历史戏,35.06,0.1367,0.317,19,67,0.3918,0.3489,0.9991,175,3,19,诸葛亮；刘备；鲁肃；曹操；张昭；黄盖；于禁；张郃；文聘；许褚；张辽；蔡瑁；张允；毛阶；糜芳；众人；步骘；蒋综；陆绩,8,10077,70601000/70601101_赤壁鏖兵【头本】.pdf,权力关系,权力关系|冲突关系|同盟关系,战争武略,战争武略|政治权力|善恶转化|忠义家国|除暴侠义,loop-030|loop-031|loop-026|loop-024|loop-027|loop-050|loop-058|loop-051,多峰型|中峰型|后峰型|前锋型,多峰-连战递进|中峰-中段征战|后峰-末端清算|前锋-开端突发|后峰-迟来显义|后峰-结尾爆发|后峰-后段反转|前锋-早峰回落,主从归顺|权谋败露|君臣尽忠|权力更替|复仇完成|善恶翻转|敌对和解,loop-030,多峰型,多峰-连战递进,主从归顺,1,12,3,93,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601102,赤壁鏖兵【二本】,历史戏,35.28,0.2459,0.4733,14,47,0.5165,0.4762,1.0,304,6,14,诸葛亮；周瑜；孙权；鲁肃；张昭；黄盖；孔明；陆绩；步骘；中军；众人；吴国太；太史慈；诸葛瑾,13,15825,70601000/70601102_赤壁鏖兵【二本】.pdf,权力关系,权力关系|冲突关系|亲属关系,战争武略,战争武略|政治权力|家庭亲情|善恶转化|礼教品格,loop-030|loop-031|loop-025|loop-026|loop-050|loop-057|loop-001|loop-004,多峰型|中峰型|后峰型|前锋型,多峰-连战递进|中峰-中段征战|中峰-中段计谋|后峰-末端清算|后峰-结尾爆发|中峰-中段悟转|前锋-先决裂后修补|中峰-中段伦理压迫,主从归顺|权谋败露|权力更替|复仇完成|阵营转投|代际和解|亲情牺牲,loop-030,多峰型,多峰-连战递进,主从归顺,7,11,6,104,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601103,赤壁鏖兵【三本】,历史戏,36.18,0.2216,0.6143,17,55,0.4044,0.548,1.0,306,10,17,周瑜；关羽；刘备；诸葛亮；鲁肃；丑中军；四红文堂；糜竺；黄盖；甘宁；四白文堂；蒋钦；太史慈；诸葛瑾；二士卒；蔡瑁；蔡𤪠,12,13822,70601000/70601103_赤壁鏖兵【三本】.pdf,冲突关系,冲突关系|权力关系|同盟关系,战争武略,战争武略|政治权力|除暴侠义|善恶转化|恩怨报偿,loop-050|loop-048|loop-051|loop-052|loop-059|loop-031|loop-025|loop-040,后峰型|多峰型|前锋型|中峰型|平稳型,后峰-结尾爆发|多峰-连战递进|前锋-早峰回落|中峰-中段征战|平稳-余波消解|中峰-中段计谋,复仇完成|敌对消灭|敌对和解|权谋败露|权力更替|义助功成,loop-050,后峰型,后峰-结尾爆发,复仇完成,0,9,11,104,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601104,赤壁鏖兵【四本】,历史戏,41.81,0.1592,0.3188,21,83,0.3952,0.4029,1.0,546,9,21,诸葛亮；鲁肃；周瑜；蒋干；曹操；黄盖；甘宁；太史慈；蔡中；蔡和；张辽；张允；蔡瑁；文聘；蒋钦；中军；太师慈；四大铠；四刀斧手；水手甲；二童,18,21563,70601000/70601104_赤壁鏖兵【四本】.pdf,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,战争武略|家庭亲情|善恶转化|政治权力|礼教品格,loop-049|loop-050|loop-057|loop-058|loop-000|loop-004|loop-041|loop-045,中峰型|后峰型|平稳型|前锋型,中峰-中段征战|后峰-结尾爆发|中峰-中段悟转|后峰-后段反转|平稳-循环回归|中峰-中段伦理压迫|前锋-开端突发,敌对和解|复仇完成|阵营转投|善恶翻转|亲缘团圆|亲情牺牲,loop-049,中峰型,中峰-中段征战,敌对和解,1,12,11,85,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601105,赤壁鏖兵【五本】,历史戏,47.47,0.1119,0.3868,32,130,0.2621,0.4269,1.0,423,10,32,曹操；周瑜；黄盖；庞统；阚泽；诸葛亮；鲁肃；徐庶；蒋干；四大铠；中军；二刀斧手；甘宁；旗牌；蔡和；蔡中；文堂甲；四上手；文聘；焦触；张南；毛阶；于禁；许褚；张辽；曹洪；夏侯惇；张郃；程昱；刘馥；荀攸；二旗牌,19,21027,70601000/70601105_赤壁鏖兵【五本】.pdf,冲突关系,冲突关系,战争武略,战争武略|恩怨报偿|善恶转化|除暴侠义,loop-050|loop-048|loop-054|loop-055|loop-058,后峰型|多峰型,后峰-结尾爆发|多峰-连战递进|多峰-恩怨反复|后峰-压轴报偿|后峰-后段反转,复仇完成|敌对消灭|阵营转投|善恶翻转,loop-050,后峰型,后峰-结尾爆发,复仇完成,5,8,7,73,10,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601106,赤壁鏖兵【六本】,历史戏,30.34,0.1465,0.3451,13,29,0.3718,0.3941,0.9781,149,5,13,诸葛亮；周瑜；鲁肃；赵云；庞统；周泰；文聘；徐盛；丁奉；四上手；守坛军；四蓝文堂；刘备,7,8296,70601000/70601106_赤壁鏖兵【六本】.pdf,冲突关系,冲突关系|同盟关系|权力关系,战争武略,战争武略|政治权力|善恶转化|公案冤狱|恩怨报偿,loop-049|loop-050|loop-059|loop-057|loop-056|loop-040|loop-045|loop-030,中峰型|后峰型|平稳型|前锋型|多峰型,中峰-中段征战|后峰-结尾爆发|平稳-余波消解|中峰-中段悟转|后峰-末端清算|前锋-开端突发|多峰-连战递进,敌对和解|复仇完成|敌对消灭|阵营转投|善恶翻转|义助功成|主从归顺,loop-049,中峰型,中峰-中段征战,敌对和解,0,8,5,63,12,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601107,赤壁鏖兵【七本】,历史戏,34.52,0.1221,0.2045,21,57,0.2714,0.4497,0.9994,137,14,21,曹操；周瑜；诸葛亮；关羽；张飞；赵云；关平；刘封；四上手；刘备；糜芳；四大铠；徐盛；蔡和；蔡中；黄盖；甘宁；文聘；四白文堂；于禁；许褚,8,8446,70601000/70601107_赤壁鏖兵【七本】.pdf,冲突关系,冲突关系|权力关系|同盟关系,战争武略,战争武略|政治权力|恩怨报偿|除暴侠义|善恶转化,loop-049|loop-050|loop-054|loop-055|loop-053|loop-031|loop-026|loop-040,中峰型|后峰型|多峰型,中峰-中段征战|后峰-结尾爆发|多峰-恩怨反复|后峰-压轴报偿|后峰-末端清算,敌对和解|复仇完成|阵营转投|权谋败露|主从归顺|义助功成,loop-049,中峰型,中峰-中段征战,敌对和解,6,14,9,89,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601108,赤壁鏖兵【八本】,历史戏,30.66,0.1818,0.3367,13,34,0.4359,0.4171,0.9966,126,4,13,关羽；曹操；诸葛亮；曹仁；报子；四大铠；于禁；旗牌；张辽；四文堂；刘备；糜芳；张飞,9,8614,70601000/70601108_赤壁鏖兵【八本】.pdf,权力关系,权力关系|冲突关系,战争武略,战争武略|政治权力|恩怨报偿|除暴侠义|公案冤狱,loop-032|loop-030|loop-026|loop-024|loop-034|loop-049|loop-054|loop-051,后峰型|多峰型|前锋型|中峰型,后峰-结尾爆发|多峰-连战递进|后峰-末端清算|前锋-开端突发|多峰-审断反复|中峰-中段征战|多峰-恩怨反复|前锋-早峰回落,功名显达|主从归顺|君臣尽忠|敌对和解|复仇完成,loop-032,后峰型,后峰-结尾爆发,功名显达,2,15,2,94,4,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70601110,变羊记,家庭戏,32.26,0.3889,0.1969,5,8,0.8,0.4862,0.8599,562,2,5,贾妈；苍头；柳氏；陈慥；苏东坡,16,19215,70601000/70601110_变羊记.pdf,亲属关系,亲属关系|婚恋关系|权力关系,家庭亲情,家庭亲情|文人世情|公案冤狱|恩怨报偿|政治权力,loop-001|loop-002|loop-009|loop-010|loop-015|loop-021|loop-033|loop-025,前锋型|后峰型|多峰型|平稳型|中峰型,前锋-先决裂后修补|后峰-终局和解|多峰-恩怨反复|后峰-压轴报偿|平稳-循环回归|平稳-中段微折|中峰-中段审判|中峰-中段计谋,代际和解|亲情牺牲|宗族复位|名节昭彰|婚恋错失|贞节守义|权谋败露|权力更替,loop-001,前锋型,前锋-先决裂后修补,代际和解,1,33,0,6,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70801109,江汉渔歌,历史戏,80.14,0.0456,0.2192,80,307,0.0972,0.4699,1.0,1141,44,80,阮复成；阮春花；银珠；李成；哈吉蒂；撒离喝；蒲鲁喝；完颜；船夫；赵观；朱小二；曹彦约；中军；衙役甲；黄秋水；党仲升；许卨；堂仲升；衙役丙；衙役；探子；四渔娘；渔娘甲；渔娘乙；四渔翁；渔翁周；渔翁张；渔翁王；渔翁李；四渔婆；渔婆周；四渔郎；渔郎甲；渔郎乙；朱贵；王有才；渔郎；渔娘丁；渔娘丙；翁婆；渔翁；渔郎丁；渔翁甲；渔翁乙；老渔翁；赵母；小娟；刘二顺；众街邻；许弟；许夫人；众军士；马将军；杨新；军士甲；刘芳；众兄弟；党小杰；梁桂英；报子；何鲁；周将军；报子甲；报子乙；众番将；金将；金将乙；番将；众番兵；金兵甲；金兵乙；金兵丙；金兵戊；金兵己；粘罕；兵卒；众人；渔婆；渔娘；渔童,43,55484,70801000/70801109_江汉渔歌.pdf,冲突关系,冲突关系|亲属关系|同盟关系,战争武略,战争武略|家庭亲情|恩怨报偿|政治权力|除暴侠义,loop-048|loop-049|loop-055|loop-056|loop-052|loop-002|loop-009|loop-040,多峰型|中峰型|后峰型,多峰-连战递进|中峰-中段征战|后峰-压轴报偿|后峰-末端清算|后峰-终局和解|多峰-恩怨反复,敌对消灭|敌对和解|阵营转投|善恶翻转|复仇完成|亲情牺牲|宗族复位|义助功成,loop-048,多峰型,多峰-连战递进,敌对消灭,0,34,20,85,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70801115,琵琶行,历史戏,100.0,0.0319,0.3075,102,382,0.0742,0.4302,1.0,2344,68,102,郭霁青；谢云屏；郭英发；市民甲；市民乙；杨富；市民丁；市民丙；众市民；杨仆；中军；郭从龙；郭英玉；刘存善；孙孝哲；众士卒；众兵士；兵士甲；众兵卒；冯蔚青；郭夫人；伶工甲；伶工乙；伶工丙；邻女；贼将；樵夫；兵士乙；兵士丙；张先生；众农人；渔人；农人丙；农人甲；农人丁；农人戊；农人乙；李二姐；军官；骡夫甲；骡夫乙；安忠道；朱福；张成彦；难民甲；高等难民；敌兵甲；朱富；兵卒甲；刘嫂；刘嫂谢；军士；店家；邻妇；伪官；伪卒；军校；敌兵；敌家属；难民乙；难民丙；军卒；安守忠；众贼兵；守城军；伪将；艄公；兵士；商人甲；商人乙；报子；小孩；妇人；狱吏；老者；民兵；监斩官；安卒；汉兵甲；众汉兵,84,115216,70801000/70801115_琵琶行.pdf,亲属关系,亲属关系|权力关系|婚恋关系,战争武略,战争武略|家庭亲情|政治权力|文人世情|婚恋姻缘,loop-002|loop-000|loop-032|loop-030|loop-025|loop-016|loop-021|loop-012,后峰型|平稳型|多峰型|中峰型|前锋型,后峰-终局和解|平稳-循环回归|后峰-结尾爆发|多峰-连战递进|中峰-中段计谋|前锋-先决裂后修补|平稳-中段微折|中峰-中段离合,亲情牺牲|亲缘团圆|功名显达|主从归顺|权力更替|夫妻重圆|贞节守义|婚恋成全,loop-002,后峰型,后峰-终局和解,亲情牺牲,1,49,4,68,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70801119,西厢记,家庭戏,41.01,0.2927,0.5163,14,45,0.4945,0.5918,1.0,668,1,14,崔莺莺；张珙；红娘；崔夫人；惠明；琴童；艄子；崔忠；崔欢郎；法本；法聪；张珪；孙飞虎；店家,28,37474,70801000/70801119_西厢记.pdf,婚恋关系,婚恋关系|亲属关系,婚恋姻缘,婚恋姻缘|家庭亲情|文人世情|礼教品格|恩怨报偿,loop-013|loop-014|loop-015|loop-016|loop-023|loop-001|loop-004|loop-009,后峰型|多峰型|平稳型|前锋型|中峰型,后峰-终局和解|多峰-离合循环|平稳-循环回归|前锋-先决裂后修补|多峰-连环误会|中峰-中段伦理压迫|多峰-恩怨反复,婚恋错失|夫妻重圆|婚恋成全|代际和解|亲情牺牲|宗族复位,loop-013,后峰型,后峰-终局和解,婚恋错失,0,47,2,38,8,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70801120,谢瑶环,历史戏,51.46,0.1403,0.4107,31,142,0.3054,0.4593,1.0,734,13,31,谢瑶环；袁行健；苏鸾仙；武三思；来俊臣；武则天；徐有功；武宏；蔡少炳；龙象乾；萧慧娘；武存厚；狄致远；蔡少彪；萧母；王椒；周亮；大太监；太监；众市民；市民甲；众家丁；众人；家丁；衙役；刽子手；侍从；中军；侍卫；行刑吏；牢子手,28,38951,70801000/70801120_谢瑶环.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|恩怨报偿|忠义家国|战争武略,loop-025|loop-026|loop-029|loop-027|loop-030|loop-000|loop-010|loop-008,中峰型|后峰型|多峰型|平稳型,中峰-中段计谋|后峰-末端清算|多峰-连战递进|后峰-迟来显义|平稳-循环回归|后峰-压轴报偿,权力更替|主从归顺|权谋败露|亲缘团圆|名节昭彰,loop-025,中峰型,中峰-中段计谋,权力更替,5,32,5,63,8,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70802106,青霞丹雪,家庭戏,54.78,0.1025,0.3041,38,155,0.2205,0.4648,1.0,813,14,38,冯丹雪；沈青霞；沈小霞；沈娘子；严世蕃；沈夫人；路楷；杨顺；贾石；严喜；沈衮；沈褒；马明；赵四；张千；李万；州官；柱儿；乡民甲；姑娘甲；乡民乙；姑娘乙；众中年；众青年；众姑娘；众乡民；密探；报子；中军；四校尉；难民甲；难民乙；四兵；众难民；二校尉；院子；衙役甲；四差役,29,37434,70802000/70802106_青霞丹雪.pdf,亲属关系,亲属关系|权力关系|婚恋关系,家庭亲情,家庭亲情|政治权力|礼教品格|忠义家国|文人世情,loop-001|loop-002|loop-005|loop-003|loop-006|loop-024|loop-027|loop-015,前锋型|后峰型|平稳型,前锋-先决裂后修补|后峰-终局和解|后峰-迟来显义|平稳-低振守常|前锋-开端突发|平稳-循环回归,代际和解|亲情牺牲|宗族复位|君臣尽忠|权力更替|婚恋错失,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,71,0,20,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70802107,王宝钏,历史戏,41.87,0.1443,0.2886,20,73,0.3842,0.3755,1.0,528,1,20,王宝钏；薛平贵；王允；王夫人；魏虎；迟范；吴用；苟才；老院子；四丫鬟；中军；二丫鬟；众大嫂；太监甲；唐王；苏龙；王银钏；太监乙；代战公主；众女兵将,20,26238,70802000/70802107_王宝钏.pdf,亲属关系,亲属关系|婚恋关系|权力关系,家庭亲情,家庭亲情|文人世情|政治权力|战争武略|婚恋姻缘,loop-001|loop-002|loop-017|loop-015|loop-021|loop-014|loop-024|loop-032,前锋型|后峰型|平稳型|多峰型,前锋-先决裂后修补|后峰-终局和解|平稳-循环回归|平稳-中段微折|多峰-离合循环|前锋-开端突发|后峰-结尾爆发,代际和解|亲情牺牲|贞节守义|婚恋错失|夫妻重圆|君臣尽忠|功名显达,loop-001,前锋型,前锋-先决裂后修补,代际和解,3,46,16,77,4,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70803102,九江口,历史戏,46.45,0.1063,0.2414,29,99,0.2438,0.4359,1.0,543,15,29,张定边；华云龙；陈友谅；胡兰；刘伯温；徐达；大太监；朱元璋；胡大海；张仁；军士甲；四军士；李义；张奎；刘俊；二旗牌；众护卫军；公主；王妃；护卫军甲；四朝官；朝官甲；陈友杰；王忠；于通海；众兵士；沐英；八兵士；众水手,21,26135,70803000/70803102_九江口.pdf,权力关系,权力关系|冲突关系|同盟关系,战争武略,战争武略|政治权力|忠义家国|除暴侠义|恩怨报偿,loop-030|loop-031|loop-025|loop-026|loop-029|loop-049|loop-052|loop-054,多峰型|中峰型|后峰型,多峰-连战递进|中峰-中段征战|中峰-中段计谋|后峰-末端清算|多峰-恩怨反复,主从归顺|权谋败露|权力更替|敌对和解|复仇完成,loop-030,多峰型,多峰-连战递进,主从归顺,0,17,1,74,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70804101,满江红,历史戏,59.88,0.0936,0.4643,46,194,0.1874,0.4991,1.0,726,10,46,岳飞；岳夫人；牛皋；岳雷；岳云；周三畏；宋高宗；秦桧；众人；兀术；报子；哈迷蚩；伊里布；张宪；李宝；众将；王次翁；六校尉；牛通；报子甲；报子乙；百姓甲；众百姓；众兵将；杨庸；罗汝楫；胡铨；大太监；龙套；执法官；四龙套；万俟卨；四校尉；四牢子手；王氏；丫鬟；校尉甲；隗顺；老狱卒；施全；内侍甲；内侍乙；薛仁辅；探马；岳震；岳霆,34,38556,70804000/70804101_满江红.pdf,权力关系,权力关系|冲突关系|亲属关系,政治权力,政治权力|战争武略|家庭亲情|恩怨报偿|礼教品格,loop-026|loop-024|loop-031|loop-032|loop-048|loop-054|loop-002|loop-010,后峰型|前锋型|中峰型|多峰型,后峰-末端清算|前锋-开端突发|中峰-中段征战|后峰-结尾爆发|多峰-连战递进|多峰-恩怨反复|后峰-终局和解|后峰-压轴报偿,主从归顺|君臣尽忠|权谋败露|功名显达|敌对消灭|复仇完成|亲情牺牲|名节昭彰,loop-026,后峰型,后峰-末端清算,主从归顺,2,32,8,90,15,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70805101,锁麟囊,家庭戏,45.43,0.1297,0.299,24,85,0.308,0.421,0.9999,693,12,24,薛湘灵；薛夫人；赵守贞；卢员外；薛良；程俊；胡杰；麟儿；大器；碧玉；梅香；胡婆；赵禄寒；卢仁；卢义；老傧相；少傧相；王青；薛顺；锣夫；轿夫；周庭训；老婆；周丫鬟,24,32297,70805000/70805101_锁麟囊.pdf,婚恋关系,婚恋关系|亲属关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|礼教品格|恩怨报偿,loop-015|loop-016|loop-012|loop-013|loop-021|loop-000|loop-003|loop-010,平稳型|前锋型|中峰型|后峰型,平稳-循环回归|前锋-先决裂后修补|中峰-中段离合|后峰-终局和解|平稳-中段微折|平稳-低振守常|后峰-压轴报偿,婚恋错失|夫妻重圆|婚恋成全|贞节守义|亲缘团圆|代际和解|名节昭彰,loop-015,平稳型,平稳-循环回归,婚恋错失,2,46,0,19,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
70805102,周仁献嫂,家庭戏,41.67,0.1799,0.3337,18,61,0.3987,0.4512,1.0,599,11,18,周仁；冯素蕙；杜娘子；严年；凤承东；海瑞；严嵩；杜文学；四校尉；校尉甲；冯索蕙；王四公；二公差；龙套；中军；解差；二大校尉；四兵士,23,30263,70805000/70805102_周仁献嫂.pdf,亲属关系,亲属关系|同盟关系|权力关系,家庭亲情,家庭亲情|恩怨报偿|政治权力|战争武略|除暴侠义,loop-001|loop-002|loop-011|loop-009|loop-045|loop-041|loop-044|loop-025,前锋型|后峰型|多峰型|中峰型,前锋-先决裂后修补|后峰-终局和解|后峰-末端清算|多峰-恩怨反复|前锋-开端突发|后峰-结尾爆发|后峰-压轴报偿|中峰-中段计谋,代际和解|亲情牺牲|亲缘团圆|宗族复位|阵营转投|君臣尽忠|权力更替,loop-001,前锋型,前锋-先决裂后修补,代际和解,5,43,7,27,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
